1,5,2,6,1,6,2,6,True,12.155
1,6,2,7,1,7,1,8,True,12.832
1,6,1,6,2,6,2,6,True,12.67
2,6,1,6,1,7,1,6,True,12.478
2,7,2,6,1,7,1,7,True,12.53
2,6,2,6,1,6,1,7,True,12.717
2,6,2,7,2,8,2,8,True,12.552
1,7,1,7,1,9,1,7,True,12.181
1,6,2,8,1,7,2,6,True,12.468
2,6,2,8,1,6,2,7,True,12.876
2,6,2,7,1,9,4,10,True,12.651
2,7,2,7,2,6,2,7,True,12.741
1,6,2,8,1,6,2,6,True,12.553
2,6,2,7,1,7,2,8,True,12.799
2,6,2,6,1,7,1,6,True,12.441
2,7,1,6,1,7,1,6,True,12.435
1,10,2,8,1,6,2,9,True,12.629
2,5,2,7,1,7,2,6,True,12.238
1,6,1,6,1,6,2,8,True,12.492
1,7,1,6,2,6,1,8,True,12.316
