321,4062,358,5488,True,35.761
338,286,336,360,True,24.292
339,191,342,398,True,23.335
340,1102,343,1617,True,26.441
346,847,349,1093,True,25.601
403,1003,345,1516,True,25.618
340,1090,348,1551,True,25.895
359,2032,411,2589,True,27.974
395,1702,349,2137,True,27.022
339,1900,345,3952,True,28.766
341,996,346,1394,True,25.854
335,1069,346,2053,True,25.813
350,846,351,3590,True,27.939
341,1091,353,2956,True,27.845
360,1075,352,6227,True,31.046
359,452,349,1372,True,24.739
366,558,346,2425,True,26.899
330,756,335,956,True,24.641
336,4746,339,8608,True,37.694
332,424,413,1360,True,25.182
328,399,334,605,True,24.404
324,1620,413,2921,True,28.095
