2,5,1,4,1,5,1,5,True,12.762
1,6,1,5,2,5,1,6,True,13.567
1,5,3,4,1,5,2,6,True,13.02
1,5,1,5,4,6,1,6,True,12.675
1,5,1,5,1,6,1,5,True,12.965
1,7,1,5,1,6,1,5,True,12.572
1,5,1,5,1,6,1,5,True,12.436
1,5,1,4,1,5,1,4,True,12.722
1,5,1,5,1,5,3,5,True,13.21
2,5,1,5,2,5,1,4,True,12.91
1,5,1,6,3,5,1,5,True,12.826
1,6,3,6,1,5,1,6,True,13.28
4,5,1,6,1,5,1,5,True,13.543
1,5,1,5,1,5,1,5,True,12.906
2,5,1,6,1,5,1,5,True,13.123
3,7,1,5,1,6,1,6,True,12.973
1,5,3,5,1,5,1,5,True,13.15
1,5,1,6,1,5,2,6,True,13.374
1,5,3,5,1,6,1,5,True,13.435
1,5,1,5,2,6,1,6,True,12.924
