71,61,86,58,True,7.253
71,90,75,309,True,7.61
72,53,75,115,True,7.256
85,39,81,42,True,7.225
79,63,111,83,True,7.272
71,49,140,49,True,7.365
70,39,77,39,True,7.288
71,94,75,347,True,7.84
134,50,133,51,True,7.432
72,41,76,40,True,7.418
71,65,78,116,True,7.295
71,70,78,54,True,7.333
72,59,77,54,True,7.168
73,75,74,86,True,7.305
76,63,80,187,True,7.588
103,47,83,56,True,7.411
112,55,76,134,True,7.635
71,61,78,82,True,7.412
71,83,81,112,True,7.556
81,46,130,64,True,7.371
73,55,76,69,True,7.184
71,66,159,57,True,7.313
70,43,111,52,True,7.088
71,81,83,114,True,7.402
75,57,77,60,True,7.141
72,76,85,79,True,7.487
72,122,83,124,True,7.563
80,87,91,282,True,7.807
72,66,74,195,True,7.542
71,82,89,187,True,7.645
